0
36, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, positionX, positionY, positionZ, stroke, fill, transparency, node weight, node radius, state
0,0,ff000000/255/0.1/0/30,0,0,0,0,0,0,0,0,0,ff000000/255/0.1/0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,389,0,0,ff000000,255,0.0,30,1
1,ff000000/255/0.1/0/30,0,ff000000/255/0.1/0/31,0,0,0,0,0,0,0,ff000000/255/0.1/0/5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,454,0,0,ff000000,255,0.0,30,0
2,0,ff000000/255/0.1/0/31,0,ff000000/255/0.1/0/32,0,0,0,0,0,ff000000/255/0.1/0/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617,476,0,0,ff000000,255,0.0,30,0
3,0,0,ff000000/255/0.1/0/32,0,ff000000/255/0.1/0/33,0,0,0,ff000000/255/0.1/0/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673,474,0,0,ff000000,255,0.0,30,0
4,0,0,0,ff000000/255/0.1/0/33,0,ff000000/255/0.1/0/34,0,ff000000/255/0.1/0/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719,450,0,0,ff000000,255,0.0,30,0
5,0,0,0,0,ff000000/255/0.1/0/34,0,ff000000/255/0.1/0/25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,386,0,0,ff000000,255,0.0,30,1
6,0,0,0,0,0,ff000000/255/0.1/0/25,0,ff000000/255/0.1/0/39,0,0,0,0,0,0,0,0,0,ff000000/255/0.1/0/26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773,392,0,0,ff000000,255,0.0,30,0
7,0,0,0,0,ff000000/255/0.1/0/20,0,ff000000/255/0.1/0/39,0,ff000000/255/0.1/0/38,0,0,0,0,0,0,0,ff000000/255/0.1/0/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739,415,0,0,ff000000,255,0.0,30,0
8,0,0,0,ff000000/255/0.1/0/15,0,0,0,ff000000/255/0.1/0/38,0,ff000000/255/0.1/0/37,0,0,0,0,0,ff000000/255/0.1/0/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,423,0,0,ff000000,255,0.0,30,0
9,0,0,ff000000/255/0.1/0/10,0,0,0,0,0,ff000000/255/0.1/0/37,0,ff000000/255/0.1/0/36,0,0,0,ff000000/255/0.1/0/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614,425,0,0,ff000000,255,0.0,30,0
10,0,ff000000/255/0.1/0/5,0,0,0,0,0,0,0,ff000000/255/0.1/0/36,0,ff000000/255/0.1/0/35,0,ff000000/255/0.1/0/6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,420,0,0,ff000000,255,0.0,30,0
11,ff000000/255/0.1/0/0,0,0,0,0,0,0,0,0,0,ff000000/255/0.1/0/35,0,ff000000/255/0.1/0/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,400,0,0,ff000000,255,0.0,30,0
12,0,0,0,0,0,0,0,0,0,0,0,ff000000/255/0.1/0/1,0,ff000000/255/0.1/0/40,0,0,0,0,0,0,0,0,0,ff000000/255/0.1/0/2,0,0,0,0,0,0,0,0,0,0,0,0,489,355,0,0,ff000000,255,0.0,30,0
13,0,0,0,0,0,0,0,0,0,0,ff000000/255/0.1/0/6,0,ff000000/255/0.1/0/40,0,ff000000/255/0.1/0/41,0,0,0,0,0,0,0,ff000000/255/0.1/0/7,0,0,0,0,0,0,0,0,0,0,0,0,0,540,355,0,0,ff000000,255,0.0,30,0
